id,label
P15-1029_W13-0109_0,Background
S15-1023_P08-1028_0,Background
S15-2047_S15-2044_0,Further Reading
D15-1032_P05-1012_0,Application
P15-1169_N13-1090_0,Evidence
D15-1299_P13-2088_1,Application
D15-1105_W02-1020_0,Background
D15-1294_P14-2085_4,Application
W15-4314_P14-2111_4,Improvement / Modification
P15-1020_P03-1021_0,Application
P15-1156_P14-2029_2,Application
P15-1086_W03-0203_0,Background
W15-3060_D08-1088_0,Evidence
S15-1021_N13-1090_0,Background
P15-1122_W11-0908_0,Background
W15-3037_D14-1162_0,Evidence
P15-1089_W10-0513_0,Evidence
W15-0807_P08-1090_0,Background
J15-3004_P02-1026_0,Background
P15-1148_P10-1110_2,Improvement / Modification
